"File Name","Record Length","Date/Time1","Date/Time2","Date/Time3","Field5","LOG:Time","LOG:Event","LOG:Category","LOG:Logger","LOG:Computer","LOG:User","LOG:Virus","LOG:File","LOG:WantedAction1","LOG:WantedAction2","LOG:RealAction","LOG:Virus_Type","LOG:Flags","LOG:Description","LOG:ScanID","LOG:New_Ext","LOG:Group_ID","LOG:Event_Data1","LOG:Event_Data2 (101_GUID/301_Actor PID)","LOG:Event_Data3 (301_Actor)","LOG:Event_Data4 (301_Event)","LOG:Event_Data5 (301_Target PID)","LOG:Event_Data6 (301_Target)","LOG:Event_Data7 (301_Target Process)","LOG:Event_Data8 (101_Virus)","LOG:Event_Data9","LOG:Event_Data10 (101_Remediation_Type_ID)","LOG:Event_Data11","LOG:Event_Data12","LOG:Event_Data13","LOG:VBin_ID","LOG:Virus_ID","LOG:Quarantine_Forward_Status","LOG:Access","LOG:SDN_Status","LOG:Compressed","LOG:Depth","LOG:Still_Infected","LOG:Def_Info","LOG:Def_Sequence_Number","LOG:Clean_Info","LOG:Delete_Info","LOG:Backup_ID","LOG:Parent","LOG:GUID","LOG:Client_Group","LOG:Address","LOG:Domain_Name","LOG:NT_Domain","LOG:MAC_Address","LOG:Version","LOG:Remote_Machine","LOG:Remote_Machine_IP","LOG:Action_1_Status","LOG:Action_2_Status","LOG:License_Feature_Name","LOG:License_Feature_Version","LOG:License_Serial_Number","LOG:License_Fulfillment_ID","LOG:License_Start_Date","LOG:License_Expiration_Date","LOG:License_LifeCycle","LOG:License_Seats_Total","LOG:License_Seats","LOG:Error_Code","LOG:License_Seats_Delta","Log:Eraser Status","LOG:Domain_GUID","LOG:Session_GUID","LOG:VBin_Session_ID","LOG:Login_Domain","LOG:Event_Data_2_1","LOG:Event_Data_2_Company_Name","LOG:Event_Data_2_Size (bytes)","LOG:Event_Data_2_Hash_Type","LOG:Event_Data_2_Hash","LOG:Event_Data_2_Product_Version","LOG:Event_Data_2_7","LOG:Event_Data_2_8","LOG:Event_Data_2_9","LOG:Event_Data_2_10","LOG:Event_Data_2_11","LOG:Event_Data_2_12","LOG:Event_Data_2_Product_Name","LOG:Event_Data_2_14","LOG:Event_Data_2_15","LOG:Event_Data_2_16","LOG:Event_Data_2_17","LOG:Eraser_Category_ID","LOG:Dynamic_Categoryset_ID","LOG:Subcategoryset_ID","LOG:Display_Name_To_Use","LOG:Reputation_Disposition","LOG:Reputation_Confidence","LOG:First_Seen","LOG:Reputation_Prevalence","LOG:Downloaded_URL","LOG:Creator_For_Dropper","LOG:CIDS_State","LOG:Behavior_Risk_Level","LOG:Detection_Type","LOG:Acknowledge_Text","LOG:VSIC_State","LOG:Scan_GUID","LOG:Scan_Duration","LOG:Scan_Start_Time","LOG:TargetApp","LOG:Scan_Command_GUID","LOG:Field115","LOG:Location","LOG:Filed117","LOG:Digital_Signatures_Signer","LOG:Digital_Signatures_Issuer","LOG:Digital_Signatures_Certificate_Thumbprint","LOG:Field121","LOG:Digital_Signatures_Serial_Number","LOG:Digital_Signatures_Signing_Time","LOG:Field124","LOG:Field125","LOG:Field126","LOG:Field127","LOG:Field128"
"c:\ProgramData\Symantec\Symantec Endpoint Protection\CurrentVersion\Data\Logs\AVMan.log","653","2020-09-09 09:28:11.581076","2020-09-09 09:27:50.000000","2020-09-09 09:27:50.000000","00000001","2020-09-09 09:27:50","ANOMALY_START","Infection","Real_Time","LG92868LB","c065855","WS.Reputation.1","C:\Users\c065855\Downloads\v8\SilkETW\SilkETW.exe","Leave Alone","Leave Alone","Leave Alone","Reputation","EB_NO_VDIALOG EB_REAL_CLIENT FA_SCANNING_FILE ","","0","","0","101","{4621EDB7-899E-4C50-97AA-E1284075034D}","0","2","","","","WS.Reputation.1","1;18","0","0","","0","0","4294919973","None","0","0","","","No","","0","Cleanable","Deletable","0","","{10A4EC4D-0BEF-4D78-83A4-E7B5C4B740C2}","","","","CNTR","F8:B4:6A:27:52:66","14.2.5569.2100","","","","","","","","","","","","","","","","Leave Alone","","0ff9a21f-5116-4679-8c8a-6478114314c7","0","","506","","35840","SHA-256","FF62D2CCFF3DE78EFC80371D84A64DD86A4AD451D30B87A2D2EE21EE221D4536","0.8.0.0","127","4","","127","0","0","SilkETW","1","0","","","","MALWARE","18","VID Virus Name","Good","Low","51","Very Low","","chrome.exe","On","127","Heuristic","","Failed","","0","2020-09-09 09:27:50","Normal","","0","VPN","0","","","","81604378624","","1970-01-01 00:00:00","","0","","",""
"c:\ProgramData\Symantec\Symantec Endpoint Protection\CurrentVersion\Data\Logs\AVMan.log","653","2020-09-09 09:28:11.590606","2020-09-09 09:27:50.000000","2020-09-09 09:27:50.000000","00000001","2020-09-09 09:27:50","ANOMALY_FINISH","Infection","Real_Time","LG92868LB","c065855","WS.Reputation.1","C:\Users\c065855\Downloads\v8\SilkETW\SilkETW.exe","Leave Alone","Leave Alone","Leave Alone","Reputation","EB_NO_VDIALOG EB_REAL_CLIENT FA_SCANNING_FILE ","","0","","0","101","{4621EDB7-899E-4C50-97AA-E1284075034D}","0","2","","","","WS.Reputation.1","1;18","0","0","","0","0","4294919973","None","0","0","","","No","","0","Cleanable","Deletable","0","","{10A4EC4D-0BEF-4D78-83A4-E7B5C4B740C2}","","","","CNTR","F8:B4:6A:27:52:66","14.2.5569.2100","","","","","","","","","","","","","","","","Leave Alone","","0ff9a21f-5116-4679-8c8a-6478114314c7","0","","506","","35840","SHA-256","FF62D2CCFF3DE78EFC80371D84A64DD86A4AD451D30B87A2D2EE21EE221D4536","0.8.0.0","127","4","","127","0","0","SilkETW","1","0","","","","MALWARE","18","VID Virus Name","Good","Low","51","Very Low","","chrome.exe","On","127","Heuristic","","Failed","","0","2020-09-09 09:27:50","Normal","","0","VPN","0","","","","81604378624","","1970-01-01 00:00:00","","0","","",""
"c:\ProgramData\Symantec\Symantec Endpoint Protection\CurrentVersion\Data\Logs\AVMan.log","653","2020-09-09 14:01:11.925804","2020-09-09 13:58:02.000000","2020-09-09 13:58:02.000000","00000001","2020-09-09 13:58:02","ANOMALY_START","Infection","Real_Time","LG92868LB","c065855","WS.Reputation.1","C:\Users\c065855\Downloads\v8\SilkETW\SilkETW.exe","Leave Alone","Leave Alone","Leave Alone","Reputation","EB_NO_VDIALOG EB_REAL_CLIENT FA_SCANNING_FILE ","","0","","0","101","{DBC8EE19-F8A1-42B2-9EC5-75F9B568A64E}","0","2","","","","WS.Reputation.1","1;18","0","0","","0","0","4294919973","None","0","0","","","No","","0","Cleanable","Deletable","0","","{10A4EC4D-0BEF-4D78-83A4-E7B5C4B740C2}","","","","CNTR","F8:B4:6A:27:52:66","14.2.5569.2100","","","","","","","","","","","","","","","","Leave Alone","","70e137aa-5028-4f49-aafe-d3fec994c09c","0","","506","","35840","SHA-256","FF62D2CCFF3DE78EFC80371D84A64DD86A4AD451D30B87A2D2EE21EE221D4536","0.8.0.0","127","4","","127","0","0","SilkETW","1","0","","","","MALWARE","18","VID Virus Name","Good","Low","51","Very Low","","chrome.exe","On","127","Heuristic","","Failed","","0","2020-09-09 13:58:02","Normal","","0","VPN","0","","","","81604378624","","1970-01-01 00:00:00","","0","","",""
"c:\ProgramData\Symantec\Symantec Endpoint Protection\CurrentVersion\Data\Logs\AVMan.log","653","2020-09-09 14:01:11.925804","2020-09-09 13:58:02.000000","2020-09-09 13:58:02.000000","00000001","2020-09-09 13:58:02","ANOMALY_FINISH","Infection","Real_Time","LG92868LB","c065855","WS.Reputation.1","C:\Users\c065855\Downloads\v8\SilkETW\SilkETW.exe","Leave Alone","Leave Alone","Leave Alone","Reputation","EB_NO_VDIALOG EB_REAL_CLIENT FA_SCANNING_FILE ","","0","","0","101","{DBC8EE19-F8A1-42B2-9EC5-75F9B568A64E}","0","2","","","","WS.Reputation.1","1;18","0","0","","0","0","4294919973","None","0","0","","","No","","0","Cleanable","Deletable","0","","{10A4EC4D-0BEF-4D78-83A4-E7B5C4B740C2}","","","","CNTR","F8:B4:6A:27:52:66","14.2.5569.2100","","","","","","","","","","","","","","","","Leave Alone","","70e137aa-5028-4f49-aafe-d3fec994c09c","0","","506","","35840","SHA-256","FF62D2CCFF3DE78EFC80371D84A64DD86A4AD451D30B87A2D2EE21EE221D4536","0.8.0.0","127","4","","127","0","0","SilkETW","1","0","","","","MALWARE","18","VID Virus Name","Good","Low","51","Very Low","","chrome.exe","On","127","Heuristic","","Failed","","0","2020-09-09 13:58:02","Normal","","0","VPN","0","","","","81604378624","","1970-01-01 00:00:00","","0","","",""
"c:\ProgramData\Symantec\Symantec Endpoint Protection\CurrentVersion\Data\Logs\AVMan.log","653","2020-09-09 17:12:42.288592","2020-09-09 17:12:30.000000","2020-09-09 17:12:30.000000","00000001","2020-09-09 17:12:30","ANOMALY_START","Infection","Real_Time","LG92868LB","c065855","WS.Reputation.1","C:\Users\c065855\Downloads\v8\SilkETW\SilkETW.exe","Leave Alone","Leave Alone","Leave Alone","Reputation","EB_NO_VDIALOG EB_REAL_CLIENT FA_SCANNING_FILE ","","0","","0","101","{1A904F9F-3242-4AF6-BEC6-1AB8A6A4145D}","0","2","","","","WS.Reputation.1","1;18","0","0","","0","0","4294919973","None","0","0","","","No","","0","Cleanable","Deletable","0","","{10A4EC4D-0BEF-4D78-83A4-E7B5C4B740C2}","","","","CNTR","F8:B4:6A:27:52:66","14.2.5569.2100","","","","","","","","","","","","","","","","Leave Alone","","024b56b3-b99f-4ecd-a961-f981456af77d","0","","506","","35840","SHA-256","FF62D2CCFF3DE78EFC80371D84A64DD86A4AD451D30B87A2D2EE21EE221D4536","0.8.0.0","127","4","","127","0","0","SilkETW","1","0","","","","MALWARE","18","VID Virus Name","Good","Low","51","Very Low","","chrome.exe","On","127","Heuristic","","Failed","","0","2020-09-09 17:12:30","Normal","","0","VPN","0","","","","81604378624","","1970-01-01 00:00:00","","0","","",""
"c:\ProgramData\Symantec\Symantec Endpoint Protection\CurrentVersion\Data\Logs\AVMan.log","653","2020-09-09 17:12:42.300074","2020-09-09 17:12:30.000000","2020-09-09 17:12:30.000000","00000001","2020-09-09 17:12:30","ANOMALY_FINISH","Infection","Real_Time","LG92868LB","c065855","WS.Reputation.1","C:\Users\c065855\Downloads\v8\SilkETW\SilkETW.exe","Leave Alone","Leave Alone","Leave Alone","Reputation","EB_NO_VDIALOG EB_REAL_CLIENT FA_SCANNING_FILE ","","0","","0","101","{1A904F9F-3242-4AF6-BEC6-1AB8A6A4145D}","0","2","","","","WS.Reputation.1","1;18","0","0","","0","0","4294919973","None","0","0","","","No","","0","Cleanable","Deletable","0","","{10A4EC4D-0BEF-4D78-83A4-E7B5C4B740C2}","","","","CNTR","F8:B4:6A:27:52:66","14.2.5569.2100","","","","","","","","","","","","","","","","Leave Alone","","024b56b3-b99f-4ecd-a961-f981456af77d","0","","506","","35840","SHA-256","FF62D2CCFF3DE78EFC80371D84A64DD86A4AD451D30B87A2D2EE21EE221D4536","0.8.0.0","127","4","","127","0","0","SilkETW","1","0","","","","MALWARE","18","VID Virus Name","Good","Low","51","Very Low","","chrome.exe","On","127","Heuristic","","Failed","","0","2020-09-09 17:12:30","Normal","","0","VPN","0","","","","81604378624","","1970-01-01 00:00:00","","0","","",""
"c:\ProgramData\Symantec\Symantec Endpoint Protection\CurrentVersion\Data\Logs\AVMan.log","653","2020-09-09 21:46:13.040368","2020-09-09 21:42:41.000000","2020-09-09 21:42:41.000000","00000001","2020-09-09 21:42:41","ANOMALY_START","Infection","Real_Time","LG92868LB","c065855","WS.Reputation.1","C:\Users\c065855\Downloads\v8\SilkETW\SilkETW.exe","Leave Alone","Leave Alone","Leave Alone","Reputation","EB_NO_VDIALOG EB_REAL_CLIENT FA_SCANNING_FILE ","","0","","0","101","{71E26129-749C-46D4-95CB-564EC834BF10}","0","2","","","","WS.Reputation.1","1;18","0","0","","0","0","4294919973","None","0","0","","","No","","0","Cleanable","Deletable","0","","{10A4EC4D-0BEF-4D78-83A4-E7B5C4B740C2}","","","","CNTR","F8:B4:6A:27:52:66","14.2.5569.2100","","","","","","","","","","","","","","","","Leave Alone","","97eb8c15-653b-4e7b-a018-f0ad7e3e43c7","0","","506","","35840","SHA-256","FF62D2CCFF3DE78EFC80371D84A64DD86A4AD451D30B87A2D2EE21EE221D4536","0.8.0.0","127","4","","127","0","0","SilkETW","1","0","","","","MALWARE","18","VID Virus Name","Good","Low","51","Very Low","","chrome.exe","On","127","Heuristic","","Failed","","0","2020-09-09 21:42:41","Normal","","0","VPN","0","","","","81604378624","","1970-01-01 00:00:00","","0","","",""
"c:\ProgramData\Symantec\Symantec Endpoint Protection\CurrentVersion\Data\Logs\AVMan.log","653","2020-09-09 21:46:13.040368","2020-09-09 21:42:41.000000","2020-09-09 21:42:41.000000","00000001","2020-09-09 21:42:41","ANOMALY_FINISH","Infection","Real_Time","LG92868LB","c065855","WS.Reputation.1","C:\Users\c065855\Downloads\v8\SilkETW\SilkETW.exe","Leave Alone","Leave Alone","Leave Alone","Reputation","EB_NO_VDIALOG EB_REAL_CLIENT FA_SCANNING_FILE ","","0","","0","101","{71E26129-749C-46D4-95CB-564EC834BF10}","0","2","","","","WS.Reputation.1","1;18","0","0","","0","0","4294919973","None","0","0","","","No","","0","Cleanable","Deletable","0","","{10A4EC4D-0BEF-4D78-83A4-E7B5C4B740C2}","","","","CNTR","F8:B4:6A:27:52:66","14.2.5569.2100","","","","","","","","","","","","","","","","Leave Alone","","97eb8c15-653b-4e7b-a018-f0ad7e3e43c7","0","","506","","35840","SHA-256","FF62D2CCFF3DE78EFC80371D84A64DD86A4AD451D30B87A2D2EE21EE221D4536","0.8.0.0","127","4","","127","0","0","SilkETW","1","0","","","","MALWARE","18","VID Virus Name","Good","Low","51","Very Low","","chrome.exe","On","127","Heuristic","","Failed","","0","2020-09-09 21:42:41","Normal","","0","VPN","0","","","","81604378624","","1970-01-01 00:00:00","","0","","",""
"c:\ProgramData\Symantec\Symantec Endpoint Protection\CurrentVersion\Data\Logs\AVMan.log","653","2020-09-10 01:54:43.861300","2020-09-10 01:54:19.000000","2020-09-10 01:54:19.000000","00000001","2020-09-10 01:54:19","ANOMALY_START","Infection","Real_Time","LG92868LB","c065855","WS.Reputation.1","C:\Users\c065855\Downloads\v8\SilkETW\SilkETW.exe","Leave Alone","Leave Alone","Leave Alone","Reputation","EB_NO_VDIALOG EB_REAL_CLIENT FA_SCANNING_FILE ","","0","","0","101","{E1D2F5C1-5CF0-4A49-9263-C28D1BB9263C}","0","2","","","","WS.Reputation.1","1;18","0","0","","0","0","4294919973","None","0","0","","","No","","0","Cleanable","Deletable","0","","{10A4EC4D-0BEF-4D78-83A4-E7B5C4B740C2}","","","","CNTR","F8:B4:6A:27:52:66","14.2.5569.2100","","","","","","","","","","","","","","","","Leave Alone","","2bebfdae-2f37-458b-a3ae-7f69f9b60b2e","0","","506","","35840","SHA-256","FF62D2CCFF3DE78EFC80371D84A64DD86A4AD451D30B87A2D2EE21EE221D4536","0.8.0.0","127","4","","127","0","0","SilkETW","1","0","","","","MALWARE","18","VID Virus Name","Good","Low","51","Very Low","","chrome.exe","On","127","Heuristic","","Failed","","0","2020-09-10 01:54:19","Normal","","0","VPN","0","","","","81604378624","","1970-01-01 00:00:00","","0","","",""
"c:\ProgramData\Symantec\Symantec Endpoint Protection\CurrentVersion\Data\Logs\AVMan.log","653","2020-09-10 01:54:43.862272","2020-09-10 01:54:19.000000","2020-09-10 01:54:19.000000","00000001","2020-09-10 01:54:19","ANOMALY_FINISH","Infection","Real_Time","LG92868LB","c065855","WS.Reputation.1","C:\Users\c065855\Downloads\v8\SilkETW\SilkETW.exe","Leave Alone","Leave Alone","Leave Alone","Reputation","EB_NO_VDIALOG EB_REAL_CLIENT FA_SCANNING_FILE ","","0","","0","101","{E1D2F5C1-5CF0-4A49-9263-C28D1BB9263C}","0","2","","","","WS.Reputation.1","1;18","0","0","","0","0","4294919973","None","0","0","","","No","","0","Cleanable","Deletable","0","","{10A4EC4D-0BEF-4D78-83A4-E7B5C4B740C2}","","","","CNTR","F8:B4:6A:27:52:66","14.2.5569.2100","","","","","","","","","","","","","","","","Leave Alone","","2bebfdae-2f37-458b-a3ae-7f69f9b60b2e","0","","506","","35840","SHA-256","FF62D2CCFF3DE78EFC80371D84A64DD86A4AD451D30B87A2D2EE21EE221D4536","0.8.0.0","127","4","","127","0","0","SilkETW","1","0","","","","MALWARE","18","VID Virus Name","Good","Low","51","Very Low","","chrome.exe","On","127","Heuristic","","Failed","","0","2020-09-10 01:54:19","Normal","","0","VPN","0","","","","81604378624","","1970-01-01 00:00:00","","0","","",""
